"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Texas,Refugio,Democrat,7383,9.6,802
Arkansas,Hot Spring,Democrat,32923,53.5,2292
Utah,Daggett,Democrat,1059,1.5,14
Ohio,Fayette,Democrat,29030,71.4,1293
Montana,Teton,Democrat,6073,2.7,833
Nebraska,Butler,Democrat,8395,14.4,53
California,Calaveras,Democrat,45578,44.7,5022
Mississippi,Jones,Democrat,67761,97.5,3191
Texas,Tom Green,Democrat,110224,72.4,2884
South Dakota,Moody,Democrat,6486,12.5,469
Texas,Shelby,Democrat,25448,32.0,436
Colorado,Sedgwick,Democrat,2379,4.3,21
Texas,Aransas,Democrat,23158,91.9,760
Virginia,Fredericksburg,Democrat,24286,2326.2,2634
Kentucky,Hopkins,Democrat,46920,86.6,4386
Texas,Haskell,Democrat,5899,6.5,252
Louisiana,Winn,Democrat,15313,16.1,681
Utah,Iron,Democrat,46163,14.0,781
New York,Jefferson,Democrat,116229,91.6,4845
West Virginia,Barbour,Democrat,16589,48.6,1680
Tennessee,Maury,Democrat,80956,132.0,3671
Virginia,Mathews,Democrat,8978,104.5,681
Wisconsin,Walworth,Democrat,102228,184.2,13579
Mississippi,Newton,Democrat,21720,37.6,1182
North Carolina,Caswell,Democrat,23719,55.8,2586
New Mexico,McKinley,Democrat,71492,13.1,8060
Arizona,Coconino,Democrat,134421,7.2,12679
Ohio,Seneca,Democrat,56745,103.0,4145
Iowa,Audubon,Democrat,6119,13.8,299
North Carolina,Macon,Democrat,33922,65.8,2976
Texas,Atascosa,Democrat,44911,36.8,1833
New Jersey,Ocean,Democrat,576567,917.0,35877
Nebraska,Valley,Democrat,4260,7.5,57
Idaho,Benewah,Democrat,9285,12.0,69
Oregon,Washington,Democrat,529710,731.4,78162
Georgia,Thomas,Democrat,44720,82.1,2604
Colorado,Cheyenne,Democrat,1836,1.0,9
Wisconsin,Clark,Democrat,34690,28.7,3417
South Dakota,Brown,Democrat,36531,21.3,2507
Texas,Ector,Democrat,137130,152.8,2793
Georgia,Clarke,Democrat,116714,979.1,13934
Illinois,Pope,Democrat,4470,12.1,285
Louisiana,Caddo,Democrat,254969,290.2,20179
Mississippi,DeSoto,Democrat,161252,338.7,7360
Iowa,Wapello,Democrat,35625,82.5,1491
Oregon,Hood River,Democrat,22346,42.8,4160
New York,Wyoming,Democrat,42155,71.1,1503
Alabama,Coosa,Democrat,11539,17.7,1137
Missouri,Scott,Democrat,39191,93.3,1901
Missouri,Marion,Democrat,28781,65.9,1632
West Virginia,Mingo,Democrat,26839,63.4,3499
West Virginia,Gilmer,Democrat,8693,25.7,986
New Mexico,Valencia,Democrat,76569,71.8,6000
Indiana,Owen,Democrat,21575,56.0,1687
Indiana,Putnam,Democrat,37963,79.0,2163
Iowa,Palo Alto,Democrat,9421,16.7,399
Kentucky,Cumberland,Democrat,6856,22.5,165
Florida,Putnam,Democrat,74364,102.2,5929
Georgia,Miller,Democrat,6125,21.7,196
Kentucky,Franklin,Democrat,49285,237.2,10616
Nebraska,Sioux,Democrat,1311,0.6,21
Florida,Hendry,Democrat,39140,34.0,1803
Georgia,Banks,Democrat,18395,79.3,341
Ohio,Mercer,Democrat,40814,88.3,1897
Texas,Hardeman,Democrat,4139,6.0,159
Missouri,Moniteau,Democrat,15607,37.6,749
West Virginia,Wayne,Democrat,42481,84.0,4832
West Virginia,Pendleton,Democrat,7695,11.1,868
Arkansas,Bradley,Democrat,11508,17.7,699
Louisiana,St. Tammany,Democrat,233740,276.4,9796
Maryland,Carroll,Democrat,167134,373.4,13202
Ohio,Lake,Democrat,230041,1011.2,22857
Iowa,Decatur,Democrat,8457,15.9,299
New York,Oneida,Democrat,234878,193.7,13326
Montana,Treasure,Democrat,718,0.7,77
Louisiana,Vermilion,Democrat,57999,49.4,1650
Missouri,Caldwell,Democrat,9424,22.1,558
Ohio,Lorain,Democrat,301356,613.6,37298
Utah,Rich,Democrat,2264,2.2,0
Missouri,Callaway,Democrat,44332,53.1,3056
Ohio,Noble,Democrat,14645,36.8,926
