"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Alabama,St. Clair,Republican,83593,132.3,18971
California,Riverside,Republican,2189641,303.8,97548
Kentucky,Robertson,Republican,2282,22.8,54
Kentucky,Elliott,Republican,7852,33.5,39
Tennessee,Cannon,Republican,13801,52.0,2305
California,Tuolumne,Republican,55365,24.9,5815
New York,Warren,Republican,65707,75.8,7143
Texas,Smith,Republican,209714,227.6,38950
Arizona,Navajo,Republican,107449,10.8,7480
Mississippi,Kemper,Republican,10456,13.6,907
West Virginia,Doddridge,Republican,8202,25.7,1458
Florida,Orange,Republican,1145956,1268.5,99719
Delaware,Sussex,Republican,197145,210.6,24451
North Carolina,Dare,Republican,33920,88.5,5075
Alabama,Limestone,Republican,82782,147.8,18689
Wisconsin,Forest,Republican,9304,9.2,1910
Kentucky,Edmonson,Republican,12161,40.2,982
California,Mono,Republican,14202,4.7,1062
Wisconsin,Milwaukee,Republican,947735,3926.0,110132
Texas,Upton,Republican,3355,2.7,620
Missouri,Pemiscot,Republican,18296,37.1,1957
Virginia,Frederick,Republican,78305,189.4,12744
Utah,Cache,Republican,112656,96.7,10113
South Carolina,Anderson,Republican,187126,261.6,34286
South Dakota,Bennett,Republican,3431,2.9,238
Montana,Hill,Republican,16096,5.6,1573
Virginia,James City,Republican,67009,470.4,15186
Texas,Lynn,Republican,5915,6.6,1274
Montana,Stillwater,Republican,9117,5.1,1996
Missouri,Douglas,Republican,13684,16.8,3038
Montana,Ravalli,Republican,40212,16.8,8042
Oklahoma,Kiowa,Republican,9446,9.3,776
Illinois,Marion,Republican,39437,68.9,5831
Idaho,Fremont,Republican,13242,7.1,2682
Kentucky,Pike,Republican,65024,82.6,1556
Texas,Nacogdoches,Republican,64524,68.2,9644
North Carolina,Orange,Republican,133801,336.2,10210
Nebraska,Wheeler,Republican,818,1.4,114
Tennessee,Knox,Republican,432226,850.5,62682
Alabama,Sumter,Republican,13763,15.2,275
West Virginia,Wyoming,Republican,23796,47.6,1725
Virginia,Sussex,Republican,12087,24.7,881
Alabama,Walker,Republican,67023,84.7,14883
Georgia,Cherokee,Republican,214346,508.3,49805
Illinois,Moultrie,Republican,14846,44.2,2626
California,Napa,Republican,136484,182.4,5206
South Dakota,Buffalo,Republican,1912,4.1,48
Oklahoma,Hughes,Republican,14003,17.4,751
Kentucky,Lee,Republican,7887,37.8,492
Arkansas,Craighead,Republican,96443,136.4,12007
Wisconsin,Pepin,Republican,7469,32.2,1307
New York,Putnam,Republican,99710,432.9,8181
Kentucky,Todd,Republican,12460,33.3,264
South Dakota,Lincoln,Republican,44828,77.7,2870
Texas,La Salle,Republican,6886,4.6,297
Nebraska,Washington,Republican,20234,51.9,3235
Pennsylvania,Blair,Republican,127089,241.7,20464
Idaho,Twin Falls,Republican,77230,40.2,9337
Indiana,Decatur,Republican,25740,69.1,5742
Iowa,Humboldt,Republican,9815,22.6,605
Georgia,Upson,Republican,27153,84.0,3871
Wisconsin,Price,Republican,14159,11.3,3066
Tennessee,White,Republican,25841,68.6,4032
Georgia,Gwinnett,Republican,805321,1871.2,97465
Mississippi,Lawrence,Republican,12929,30.0,2107
North Carolina,Duplin,Republican,58505,71.7,4669
Virginia,Highland,Republican,2321,5.6,389
Arkansas,Benton,Republican,221339,261.2,41397
Illinois,Henderson,Republican,7331,19.3,1176
Nebraska,Hitchcock,Republican,2908,4.1,390
Tennessee,Marshall,Republican,30617,81.5,3774
North Carolina,Martin,Republican,24505,53.1,1831
Kentucky,Lincoln,Republican,24742,74.1,1246
West Virginia,Raleigh,Republican,78859,130.3,8423
Tennessee,Sevier,Republican,89889,151.7,16060
Iowa,Pocahontas,Republican,7310,12.7,483
Kentucky,Carter,Republican,27720,67.7,1270
Indiana,Jay,Republican,21253,55.4,3958
Arkansas,Chicot,Republican,11800,18.3,785
Virginia,Gloucester,Republican,36858,169.2,6519
Virginia,Pittsylvania,Republican,63506,65.5,8349
Texas,Brazoria,Republican,313166,230.7,38060
Arkansas,Montgomery,Republican,9487,12.2,1559
Texas,Red River,Republican,12860,12.4,2339
Louisiana,Pointe Coupee,Republican,22802,40.9,1031
New Mexico,Hidalgo,Republican,4894,1.4,334
Florida,Suwannee,Republican,41551,60.3,5545
Arkansas,Independence,Republican,36647,48.0,5794
Virginia,Richmond City,Republican,204214,3414.7,13004
Georgia,Hancock,Republican,9429,20.0,401
Oregon,Harney,Republican,7422,0.7,1745
Arkansas,Columbia,Republican,24552,32.1,3037
Oregon,Umatilla,Republican,75889,23.6,7192
West Virginia,Marion,Republican,56418,182.7,4777
Nevada,Clark,Republican,1951269,247.3,40990
Georgia,Calhoun,Republican,6694,23.9,444
North Carolina,Scotland,Republican,36157,113.4,1876
Kentucky,Magoffin,Republican,13333,43.2,516
Wisconsin,Pierce,Republican,41019,71.5,6638
Indiana,Crawford,Republican,10713,35.1,1852
Louisiana,Caddo,Republican,254969,290.2,15649
Texas,Crosby,Republican,6059,6.7,696
Mississippi,Attala,Republican,19564,26.6,2581
Michigan,Arenac,Republican,15899,43.8,2119
Idaho,Jefferson,Republican,26140,23.9,5445
Michigan,Roscommon,Republican,24449,47.1,4140
New Mexico,Chaves,Republican,65645,10.8,4367
Ohio,Wyandot,Republican,22615,55.6,4505
California,Del Norte,Republican,28610,28.4,1828
Texas,Lee,Republican,16612,26.4,3159
Oregon,Polk,Republican,75403,101.8,9172
Ohio,Morgan,Republican,15054,36.2,3201
Texas,El Paso,Republican,800647,790.6,27892
California,Inyo,Republican,18546,1.8,1698
Missouri,Schuyler,Republican,4431,14.4,713
Oregon,Washington,Republican,529710,731.4,41003
Idaho,Cassia,Republican,22952,8.9,4184
Louisiana,Vernon,Republican,52334,39.4,2517
Tennessee,Lewis,Republican,12161,43.1,1566
North Carolina,Nash,Republican,95840,177.3,10382
Tennessee,Van Buren,Republican,5548,20.3,890
Pennsylvania,Jefferson,Republican,45200,69.3,7555
Nebraska,Boone,Republican,5505,8.0,1081
Washington,Walla Walla,Republican,58781,46.3,5744
Georgia,Glynn,Republican,79626,189.7,12398
Georgia,Forsyth,Republican,175511,783.5,41757
Kentucky,Clark,Republican,35613,141.1,2140
Idaho,Boise,Republican,7028,3.7,1545
Oklahoma,Cherokee,Republican,46987,62.7,3273
Wisconsin,Douglas,Republican,44159,33.9,6504
Ohio,Lucas,Republican,441815,1296.2,51073
Kentucky,Marion,Republican,19820,57.8,414
West Virginia,Randolph,Republican,29405,28.3,2632
Ohio,Jefferson,Republican,69709,170.7,10681
Louisiana,Red River,Republican,9091,23.4,585
Missouri,Butler,Republican,42794,61.6,7079
Virginia,Norton,Republican,3958,529.1,373
Montana,Fergus,Republican,11586,2.7,2431
Tennessee,Greene,Republican,68831,110.6,10732
South Dakota,Codington,Republican,27227,39.5,2190
South Carolina,Darlington,Republican,68681,122.4,8879
Missouri,Greene,Republican,275174,407.5,50735
Texas,Rusk,Republican,53330,57.7,8983
Florida,Glades,Republican,12884,16.0,1058
South Dakota,Beadle,Republican,17398,13.8,702
Texas,Howard,Republican,35012,38.9,3657
Montana,Chouteau,Republican,5813,1.5,1053
Texas,Refugio,Republican,7383,9.6,929
Oregon,Malheur,Republican,31313,3.2,3404
Georgia,Sumter,Republican,32819,68.0,2969
Mississippi,Holmes,Republican,19198,25.4,707
Texas,Shelby,Republican,25448,32.0,4600
Georgia,Miller,Republican,6125,21.7,903
Kentucky,McCracken,Republican,65565,263.6,3494
Wisconsin,Ashland,Republican,16157,15.5,2469
Texas,Hardeman,Republican,4139,6.0,637
Georgia,Screven,Republican,14593,22.6,1723
New York,Staten Island,Republican,468730,8030.3,24688
Texas,Angelina,Republican,86771,108.8,13075
Tennessee,Sullivan,Republican,156823,379.4,22196
Utah,Beaver,Republican,6629,2.6,363
Missouri,Macon,Republican,15566,19.4,3132
Iowa,Tama,Republican,17767,24.6,983
Georgia,Cook,Republican,17212,75.8,2212
Alabama,Butler,Republican,20947,27.0,3144
Texas,Aransas,Republican,23158,91.9,4973
Nebraska,Fillmore,Republican,5890,10.2,824
Pennsylvania,Cambria,Republican,143679,208.7,16208
Texas,Real,Republican,3309,4.7,1328
Virginia,New Kent,Republican,18429,87.9,4060
Virginia,Falls Church,Republican,12332,6169.1,1548
Louisiana,Grant,Republican,22309,34.7,1597
Missouri,Gasconade,Republican,15222,29.4,3049
Georgia,Johnson,Republican,9980,32.9,1264
South Dakota,Pennington,Republican,100948,36.4,11891
Texas,Donley,Republican,3677,4.0,785
Alabama,Wilcox,Republican,11670,13.1,521
Kentucky,Henry,Republican,15416,53.9,762
Texas,De Witt,Republican,20097,22.1,3449
Indiana,Fayette,Republican,24277,112.9,4045
Alabama,Coosa,Republican,11539,17.7,2176
Tennessee,Henry,Republican,32330,57.5,5273
New Jersey,Ocean,Republican,576567,917.0,50767
Indiana,Sullivan,Republican,21475,48.0,3438
Virginia,Middlesex,Republican,10959,84.1,1894
Iowa,Clarke,Republican,9286,21.5,557
Texas,Terry,Republican,12651,14.2,1742
Wisconsin,Door,Republican,27785,57.6,7234
North Carolina,Catawba,Republican,154358,387.1,24420
Virginia,Williamsburg,Republican,14068,1559.3,1524
Texas,San Augustine,Republican,8865,16.7,1944
Missouri,Clinton,Republican,20743,49.5,3517
Texas,Uvalde,Republican,26405,17.0,2178
Maryland,Cecil,Republican,101108,292.0,11540
South Dakota,Ziebach,Republican,2801,1.4,115
Kentucky,Rockcastle,Republican,17056,53.9,1623
Mississippi,Lauderdale,Republican,80261,114.1,10121
Georgia,Peach,Republican,27695,184.3,3018
Mississippi,Greene,Republican,14400,20.2,2104
Iowa,Bremer,Republican,24276,55.7,1490
New York,Greene,Republican,49221,76.1,3977
Mississippi,Sunflower,Republican,29450,42.2,1437
Florida,Charlotte,Republican,159978,235.2,29159
Arkansas,Arkansas,Republican,19019,19.2,2684
Wisconsin,Sauk,Republican,61976,74.6,10793
California,Stanislaus,Republican,514453,344.2,19148
Louisiana,West Feliciana,Republican,15625,38.8,886
New Mexico,Lea,Republican,64727,14.7,3683
Illinois,Winnebago,Republican,295266,575.2,37246
New Jersey,Camden,Republican,513657,2321.5,17728
Indiana,LaPorte,Republican,111467,186.3,14852
Texas,Haskell,Republican,5899,6.5,797
Ohio,Morrow,Republican,34827,85.8,8626
Virginia,Hampton,Republican,137436,2673.2,9386
Tennessee,Hardin,Republican,26026,45.1,3764
Georgia,Turner,Republican,8930,31.3,1131
Florida,Calhoun,Republican,14625,25.8,1113
Alabama,Hale,Republican,15760,24.5,1117
Kentucky,Carroll,Republican,10811,84.1,237
Louisiana,St. Mary,Republican,54650,98.4,2916
Nebraska,Sarpy,Republican,158840,664.6,13978
Missouri,St. Charles,Republican,360485,643.2,72117
Tennessee,McNairy,Republican,26075,46.3,3679
Tennessee,Smith,Republican,19166,61.0,2897
Michigan,Monroe,Republican,152021,276.7,20746
Indiana,White,Republican,24643,48.8,5191
Pennsylvania,Cameron,Republican,5085,12.8,794
Missouri,Monroe,Republican,8840,13.6,1580
Washington,Clallam,Republican,71404,41.1,8220
West Virginia,Jefferson,Republican,53498,255.2,4891
Montana,Beaverhead,Republican,9246,1.7,2038
Nevada,Lincoln,Republican,5345,0.5,285
Arkansas,Faulkner,Republican,113237,174.8,18277
Missouri,Jasper,Republican,117404,183.9,20245
Ohio,Clark,Republican,138333,348.0,23928
