"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Alabama,St. Clair,Republican,83593,132.3,18971
Texas,Refugio,Democrat,7383,9.6,802
Arkansas,Hot Spring,Democrat,32923,53.5,2292
Kentucky,Robertson,Republican,2282,22.8,54
Montana,Teton,Democrat,6073,2.7,833
Mississippi,Jones,Democrat,67761,97.5,3191
Texas,Aransas,Democrat,23158,91.9,760
Texas,Smith,Republican,209714,227.6,38950
Arizona,Navajo,Republican,107449,10.8,7480
Mississippi,Kemper,Republican,10456,13.6,907
Kentucky,Hopkins,Democrat,46920,86.6,4386
Texas,Haskell,Democrat,5899,6.5,252
New York,Jefferson,Democrat,116229,91.6,4845
West Virginia,Barbour,Democrat,16589,48.6,1680
West Virginia,Doddridge,Republican,8202,25.7,1458
Wisconsin,Walworth,Democrat,102228,184.2,13579
Mississippi,Newton,Democrat,21720,37.6,1182
North Carolina,Dare,Republican,33920,88.5,5075
Alabama,Limestone,Republican,82782,147.8,18689
New Mexico,McKinley,Democrat,71492,13.1,8060
California,Mono,Republican,14202,4.7,1062
Missouri,Pemiscot,Republican,18296,37.1,1957
North Carolina,Macon,Democrat,33922,65.8,2976
Virginia,Frederick,Republican,78305,189.4,12744
Utah,Cache,Republican,112656,96.7,10113
South Dakota,Bennett,Republican,3431,2.9,238
New Jersey,Ocean,Democrat,576567,917.0,35877
Texas,Lynn,Republican,5915,6.6,1274
Montana,Stillwater,Republican,9117,5.1,1996
Oregon,Washington,Democrat,529710,731.4,78162
South Dakota,Brown,Democrat,36531,21.3,2507
Montana,Ravalli,Republican,40212,16.8,8042
Oklahoma,Kiowa,Republican,9446,9.3,776
Georgia,Clarke,Democrat,116714,979.1,13934
Illinois,Marion,Republican,39437,68.9,5831
Kentucky,Pike,Republican,65024,82.6,1556
Texas,Nacogdoches,Republican,64524,68.2,9644
Louisiana,Caddo,Democrat,254969,290.2,20179
Nebraska,Wheeler,Republican,818,1.4,114
Mississippi,DeSoto,Democrat,161252,338.7,7360
Alabama,Sumter,Republican,13763,15.2,275
West Virginia,Wyoming,Republican,23796,47.6,1725
Oregon,Hood River,Democrat,22346,42.8,4160
Illinois,Moultrie,Republican,14846,44.2,2626
South Dakota,Buffalo,Republican,1912,4.1,48
Missouri,Scott,Democrat,39191,93.3,1901
Missouri,Marion,Democrat,28781,65.9,1632
West Virginia,Mingo,Democrat,26839,63.4,3499
Oklahoma,Hughes,Republican,14003,17.4,751
Kentucky,Lee,Republican,7887,37.8,492
Arkansas,Craighead,Republican,96443,136.4,12007
West Virginia,Gilmer,Democrat,8693,25.7,986
Indiana,Putnam,Democrat,37963,79.0,2163
Kentucky,Todd,Republican,12460,33.3,264
Florida,Putnam,Democrat,74364,102.2,5929
Georgia,Miller,Democrat,6125,21.7,196
Idaho,Twin Falls,Republican,77230,40.2,9337
Indiana,Decatur,Republican,25740,69.1,5742
Nebraska,Sioux,Democrat,1311,0.6,21
Tennessee,White,Republican,25841,68.6,4032
Mississippi,Lawrence,Republican,12929,30.0,2107
North Carolina,Duplin,Republican,58505,71.7,4669
Missouri,Moniteau,Democrat,15607,37.6,749
